# Exchange addresses scraped from Arkham Intelligence, CoinCarp, and BitInfoCharts
# Generated: 2026-03-11
# Total: 195 addresses across 12 entities
address,entity,source
# Binance US (3 addresses)
1DDujBCtAcLek3ch9J8Ys5nXvTA7YZhXYh,Binance US,arkham-labeled
1DgqnCpzq9GvqFDDVTQ3GpojtQiyosZGMz,Binance US,arkham-labeled
bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu,Binance US,arkham-labeled
# Blockchain.com (2 addresses)
3AvdnSwV9DQZ848V6ozQVhNZAXFznt8W59,Blockchain.com,arkham-labeled
bc1qfrrgdwrfsjhn50v7zqe7az6f50u6w9g7s6uflg,Blockchain.com,arkham-labeled
# Cash App (24 addresses)
338pPddYVS7FcUDM67yG7XP9jEVZi3wZpH,Cash App,arkham-labeled
3HhNJfhjWvxRokZ1aRbnjwB8awF1kbafxF,Cash App,arkham-labeled
bc1q086xg0g4zshhxjpht6phaddm8j7tky6tpmhya8,Cash App,arkham-labeled
bc1q08ejvqmutnjj0dqkm0npzscnkvnnhcp7wam72q,Cash App,arkham-labeled
bc1q0k6dcpj6wzr4jyzvzene05wc3d4gz985x6gskn,Cash App,arkham-labeled
bc1q2zp50t6etq7x6q43eq2pvtpdajzuspf7qu6gmz,Cash App,arkham-labeled
bc1q4cqsdsaze8dqat95zwmyh56h3qj56k6n3duj0l,Cash App,arkham-labeled
bc1q5chrazg462ncvlc6gcn7jz4al625eyp6ekk357,Cash App,arkham-labeled
bc1q6axnqgkt63px9389dq4f5emkrrc5u0w4x5hu6d,Cash App,arkham-labeled
bc1q77d9m7za58umclh4ftqx0k2dsde4xuxq8kqsm6,Cash App,arkham-labeled
bc1q78fd30yckdgw8rnxh0uwaqx5qvjlf8y96vlcac,Cash App,arkham-labeled
bc1q8ux64v4zremsretqwgclq7qlwqzar7l0vlpkl2,Cash App,arkham-labeled
bc1q9x3x4gpg8hhwzn3pr6nem0rk38jqldv0u93hnl,Cash App,arkham-labeled
bc1qcr8gvmj6a30z4wd0z3gwskntgxgc0ezev942fa,Cash App,arkham-labeled
bc1qcy5lvevdhex89zghwk9ae8lugrqqhtrn8l4ryk,Cash App,arkham-labeled
bc1qcza6s6ew2kaxe9hdyrqqeuadc3za7fva5yjcnf,Cash App,arkham-labeled
bc1qfzrkaymy0szpgl37tn3unh0f3gd9cd34g2f4th,Cash App,arkham-labeled
bc1qgtqnl6naqtkr83adc2npxucfqj6dw8uz3s5hcd,Cash App,arkham-labeled
bc1qqqs739x26axhctya5q2knjxughjczkcpx0ycm5,Cash App,arkham-labeled
bc1qrksjewvynzh3p4k3f4nw66s6adqhwltxd7j8jf9h790sm38dkttqswut2n,Cash App,arkham-labeled
bc1qskfh0ucjjlfsd6n3fy0u34xfzapk04pvmq759n,Cash App,arkham-labeled
bc1qsua65ucyqwmk6qmwa27d5hd6glmgyq0ewk58l5,Cash App,arkham-labeled
bc1qtwrswwp6c3kf30gy2jqpy4kacc59434x35k3cq,Cash App,arkham-labeled
bc1qvhkcaq5h3xj4q9x3pmly32gt4ww4fpl8undp8l,Cash App,arkham-labeled
# FTX (102 addresses)
12HnxiXEeKUVjQRbMVTytsGWnzHd5LdGCt,FTX,arkham-labeled
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,FTX,arkham-labeled
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,FTX,arkham-labeled
15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv,FTX,arkham-labeled
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,FTX,arkham-labeled
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,FTX,arkham-labeled
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,FTX,arkham-labeled
