# WalletExplorer.com deep scrape - 2026-03-11
# Exchanges with 0 or few curated addresses
# Source: https://www.walletexplorer.com/
address,entity,source
# BX.in.th (1000 addresses)
114sVbbdm4KoQS9GWCTu1q64dRLaSa5EMi,BX.in.th,walletexplorer
1163fJsMTZ24hm5M5qzALwvmuonY9DfGic,BX.in.th,walletexplorer
121wZ4wr8Td3r37zuwpJutRr1ibb1uxcjM,BX.in.th,walletexplorer
125262FzRSs1iH2PrQR86edy7mt7gUx2RU,BX.in.th,walletexplorer
126XMD1T94hYK8pFA5gvDLfdrUiHZNBVu3,BX.in.th,walletexplorer
128G7tQVmfyZffSVNRtAcu37VhEVfTPmBw,BX.in.th,walletexplorer
129XUBuqdQk4Mw6odatwLHsDvNXeVQf47s,BX.in.th,walletexplorer
12A4VzuNX57Lfo6FWhQtvH4dEG8AbD74uM,BX.in.th,walletexplorer
12BRkNcm5wsfuf9oeSFAvnfx5nELCSsxEF,BX.in.th,walletexplorer
12D4RDKVC4cvCJwdmwTe5hAgoQRxJE6quz,BX.in.th,walletexplorer
12ESGLWArhuaREGPvYefPWm72cNqnCAzhg,BX.in.th,walletexplorer
12EfefAm812L6hyq1z1FyBJJLEEWSLmzym,BX.in.th,walletexplorer
12LzZeFgGkR1M6qLGrMq8VRJxT4vhzcqhY,BX.in.th,walletexplorer
12MPR2uYXJcVegmuMuFs7NJ6Y61jsaHXEx,BX.in.th,walletexplorer
12MW91dzeXEGYHxL9j5W7kmzkj6Woy5Tef,BX.in.th,walletexplorer
12NfMHuRUAjZdSSAEpmdB8sSJgmGYsACM5,BX.in.th,walletexplorer
12PnZhGokivHZ5oJaw9L41EuHTE1CZecN5,BX.in.th,walletexplorer
12PuZRS9twFXxsMwX4J42wKHvgafw3KD8t,BX.in.th,walletexplorer
12QjAff6asBXgXohvsKCbckL7TrbU34bRz,BX.in.th,walletexplorer
12TdvgiaEW2eG7PkQm1DEVF7dB4gC2VtFQ,BX.in.th,walletexplorer
12UHr1LDncwUW7AYjPrwM42DTmu8JPAMFY,BX.in.th,walletexplorer
12X5d6ggtyKJf5NrtMay6tC9hEXM6dv3LH,BX.in.th,walletexplorer
12Zi8ujt1PNmwPHmh9MEFXqg1gtwDtfmUL,BX.in.th,walletexplorer
12athtz3t4BWFoTeBFE5nHXNseffnEFrEg,BX.in.th,walletexplorer
12cPgVJ7UQUne8SNMtPTzxAnWomEPshKQg,BX.in.th,walletexplorer
12h3wGP69pdWfB7cpQcGjfmZJUnvP4GrCw,BX.in.th,walletexplorer
12iDm9TocPMD5gSFgWkciiq5FfQQoRNKWM,BX.in.th,walletexplorer
